     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
  13251621,       501,         0,  5038.8,bplsd_r6_w7_c1_hx36,f8f08a04063cd889e2c90ef6437c86b3bb3090411092b9e3cb69167b1d8c7999,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":0,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.0006,""rounds"":6,""window"":7,""z_basis"":""True""}",
   2218213,       534,         0,   911.4,bplsd_r6_w7_c1_hx36,c74e7f3906f0d24fff60b8af2cb7796e16c60504af6b8282e7dca61cbe720d8f,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":0,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.001,""rounds"":6,""window"":7,""z_basis"":""True""}",
    162774,       543,         0,   102.5,bplsd_r6_w7_c1_hx36,12394bb5b1164b83f76a4638037b91562d4e03cf81eb91b8afb1cf5409ebd9ca,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":0,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.002,""rounds"":6,""window"":7,""z_basis"":""True""}",
     32340,       541,         0,    32.4,bplsd_r6_w7_c1_hx36,3f89cbe49c97352423d84bec3c3032dc622140efdfecb2028cf28c5c66c1f47c,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":0,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.003,""rounds"":6,""window"":7,""z_basis"":""True""}",
      8284,       503,         0,    14.1,bplsd_r6_w7_c1_hx36,503bbdd915521d9b2d9b3b8596a204c3ddd74c735fd3b2bb6d2b90cc82c348e8,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":0,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.004,""rounds"":6,""window"":7,""z_basis"":""True""}",
      3847,       536,         0,    10.8,bplsd_r6_w7_c1_hx36,e740366d2feb7357399b7ebc3c45b1462898eda8070b25da00883d34d6dfd30a,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":0,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.005,""rounds"":6,""window"":7,""z_basis"":""True""}",
      1958,       521,         0,    9.43,bplsd_r6_w7_c1_hx36,509ba7c8bbceaaf8346bd9d05df8aa73fe6b2bec0c1d70690ce3e3d804b9f79f,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":0,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.006,""rounds"":6,""window"":7,""z_basis"":""True""}",
  14088579,       533,         0,  5816.0,bplsd_r6_w7_c1_hx36,79fe732f06aae4711ebb002bf0324547f19e72d1e2bd9e7ab9b2b881bc50ec81,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":4,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.0006,""rounds"":6,""window"":7,""z_basis"":""True""}",
   2182377,       508,         0,   892.7,bplsd_r6_w7_c1_hx36,485c9c10fbc5f52a274a8319303fe447ef36dbae770e90a42604dcbb197c49f5,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":4,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.001,""rounds"":6,""window"":7,""z_basis"":""True""}",
    155692,       505,         0,    99.9,bplsd_r6_w7_c1_hx36,b152296b88c4bf06e8873f385c82a8d1a573c70f5f1000d69cd20467f4ed9078,"{""code"":""BB_n72_k12"",""commit"":1,""d"":6,""decoder_args"":{""bp_method"":""ms"",""lsd_order"":4,""max_iter"":30,""ms_scaling_factor"":1.0,""osd_method"":""osd_cs"",""schedule"":""parallel""},""p"":0.002,""rounds"":6,""window"":7,""z_basis"":""True""}",
